dataset,epoch,checkpoint,n,lossless_rate,accuracy,rouge_l,bleu,tau,esr,dsr,tokens_per_second,end_to_end_s,speedup_vs_target,device,performance_comparable
mvbench,6e,llava68k,500,0.998,0.582,0.22494219375395846,0.5917544180427261,2.2475,1.0933546475028564,1.0516106195204935,26.209255740220602,0.14895280852913856,1.0933546475028564,cuda:0,True
mvbench,20e,llava68k,500,0.998,0.582,0.22494219375395846,0.5917544180427261,1.9506633499170811,1.0407966997221612,0.9577626984113061,25.78615580614718,0.14920840959623455,1.0407966997221612,cuda:0,True
mvbench,6e,sharegpt68k,500,0.998,0.582,0.22494219375395846,0.5917544180427261,2.494818652849741,1.1072387225986402,1.0926479256892392,26.630998036485035,0.1469474914111197,1.1072387225986402,cuda:0,True
mvbench,20e,sharegpt68k,500,0.998,0.582,0.22494219375395846,0.5917544180427261,2.2922948073701845,1.0658668750932012,1.0263009966416703,26.555980152952646,0.14567272654920815,1.0658668750932012,cuda:0,True
vdc50,6e,llava68k,50,0.04,,0.24125253234247485,0.050095111907734864,2.474175617991637,1.520523013660723,1.5519667216453226,113.82705232610074,1.7371881955862045,1.520523013660723,cuda:0,False
vdc50,20e,llava68k,50,0.12,,0.23781423823280498,0.04662268758208787,2.0039786489833316,1.5040463728557205,1.5232966184062007,65.55778533463892,2.969740859568119,1.5040463728557205,cuda:1,False
vdc50,6e,sharegpt68k,50,0.04,,0.24125253234247485,0.050095111907734864,1.6500536736641518,1.0407524385693747,1.0361550364537762,77.75026417965898,2.535597232580185,1.0407524385693747,cuda:0,False
vdc50,20e,sharegpt68k,50,0.12,,0.23781423823280498,0.04662268758208787,1.3094939720870684,1.003016419669628,0.9971978806184839,43.80058408180085,4.40885165464133,1.003016419669628,cuda:1,False
