dataset,epoch,checkpoint,device,performance_comparable,tau,esr,dsr,tokens_per_second,end_to_end_s,speedup_vs_target
mvbench,6e,llava68k,cuda:0,True,2.2475,1.0933546475028564,1.0516106195204935,26.209255740220602,0.14895280852913856,1.0933546475028564
mvbench,20e,llava68k,cuda:0,True,1.9506633499170811,1.0407966997221612,0.9577626984113061,25.78615580614718,0.14920840959623455,1.0407966997221612
mvbench,6e,sharegpt68k,cuda:0,True,2.494818652849741,1.1072387225986402,1.0926479256892392,26.630998036485035,0.1469474914111197,1.1072387225986402
mvbench,20e,sharegpt68k,cuda:0,True,2.2922948073701845,1.0658668750932012,1.0263009966416703,26.555980152952646,0.14567272654920815,1.0658668750932012
vdc50,6e,llava68k,cuda:0,False,2.474175617991637,1.520523013660723,1.5519667216453226,113.82705232610074,1.7371881955862045,1.520523013660723
vdc50,20e,llava68k,cuda:1,False,2.0039786489833316,1.5040463728557205,1.5232966184062007,65.55778533463892,2.969740859568119,1.5040463728557205
vdc50,6e,sharegpt68k,cuda:0,False,1.6500536736641518,1.0407524385693747,1.0361550364537762,77.75026417965898,2.535597232580185,1.0407524385693747
vdc50,20e,sharegpt68k,cuda:1,False,1.3094939720870684,1.003016419669628,0.9971978806184839,43.80058408180085,4.40885165464133,1.003016419669628
