condition,n,valid_n,ok,mismatch,unsupported,error,unknown,lossless_rate,tau_effective_mean,accepted_length_mean,speculative_latency_mean,target_latency_mean,speedup_mean
0,50,50,9,41,0,0,0,0.18,2.312576938374646,2.312576938374646,4.452823312990367,7.06013319414109,1.5842870895197216
1,50,50,9,41,0,0,0,0.18,2.3217297404542654,2.3217297404542654,4.431461077816785,7.04390305224806,1.5879078936739188
5,50,50,9,41,0,0,0,0.18,2.352411827734764,2.352411827734764,4.3924726582318545,7.043297657743096,1.6029358085453063
10,50,50,9,41,0,0,0,0.18,2.3713582056336433,2.3713582056336433,4.368338630385697,7.040320153273642,1.6099530720114688
25,50,50,9,41,0,0,0,0.18,2.384063464197571,2.384063464197571,4.370192837007344,7.041394950337708,1.612108217794576
100,50,50,9,41,0,0,0,0.18,2.3726433776393363,2.3726433776393363,4.367712867558002,7.008433454744518,1.6019184388619254
