condition,n,valid_n,ok,mismatch,unsupported,error,unknown,lossless_rate,tau_effective_mean,accepted_length_mean,speculative_latency_mean,target_latency_mean,speedup_mean
400,50,50,9,41,0,0,0,0.18,2.5594854093414727,2.5594854093414727,2.62335278917104,4.906600731685757,1.8968515178485748
3000,50,50,9,41,0,0,0,0.18,2.3726433776393363,2.3726433776393363,4.275273263156414,6.899994118511676,1.6128049851350739
13000,50,50,5,45,0,0,0,0.1,2.1908188028890203,2.1908188028890203,13.251506473943591,18.52995188303292,1.4084921081367086
25000,50,49,9,40,1,0,0,0.1836734693877551,2.1354418679623,2.1354418679623,21.976152739354543,28.933775104430257,1.3177703907127203
