accepted_prefix_tokens.ci95_high,accepted_prefix_tokens.ci95_low,accepted_prefix_tokens.mean,accepted_prefix_tokens.median,accepted_prefix_tokens.n,accepted_prefix_tokens.p25,accepted_prefix_tokens.p75,accepted_prefix_tokens.std,decode_seconds.ci95_high,decode_seconds.ci95_low,decode_seconds.mean,decode_seconds.median,decode_seconds.n,decode_seconds.p25,decode_seconds.p75,decode_seconds.std,end_to_end_seconds.ci95_high,end_to_end_seconds.ci95_low,end_to_end_seconds.mean,end_to_end_seconds.median,end_to_end_seconds.n,end_to_end_seconds.p25,end_to_end_seconds.p75,end_to_end_seconds.std,end_to_end_speedup.ci95_high,end_to_end_speedup.ci95_low,end_to_end_speedup.mean,end_to_end_speedup.median,end_to_end_speedup.n,end_to_end_speedup.p25,end_to_end_speedup.p75,end_to_end_speedup.std,lossless.ci95_high,lossless.ci95_low,lossless.mean,lossless.median,lossless.n,lossless.p25,lossless.p75,lossless.std,prefill_seconds.ci95_high,prefill_seconds.ci95_low,prefill_seconds.mean,prefill_seconds.median,prefill_seconds.n,prefill_seconds.p25,prefill_seconds.p75,prefill_seconds.std,retention_percentage,rows,sample_count,selection_policy
1.4561962531740003,1.1300687533994034,1.2896733704492545,1.3153153153153154,23,0.9961240310077519,1.4166076095141074,0.4064560318229864,48.50901186194919,32.091313929950985,40.5387790095385,48.202996199950576,23,14.49078109394759,54.56557178776711,20.441817101256234,62.54024224769041,46.173109529327355,54.85010062530637,61.30708150751889,23,27.959555882029235,70.18122169747949,20.929697956257648,1.1028701901433058,1.0106037328728974,1.052608972668535,1.0320583704850124,23,0.9928553196888633,1.0829557476280396,0.11324030050608365,1.0,1.0,1.0,1.0,23,1.0,1.0,0.0,14.813230792880464,13.823749684384499,14.311321615767868,13.80908601731062,23,13.32889292575419,15.559906759299338,1.2066878628296422,100.0,23,23,all_text
1.7704280573347257,1.3756664833056984,1.575352240694202,1.6443298969072164,23,1.0946919282862289,1.8901637783279375,0.49445926101191146,41.99036818988337,27.82902978529101,35.09608499956844,40.5509489569813,23,13.183634129352868,47.404389495030046,17.64574524512372,55.83119517734031,41.69561702561281,49.16284358760585,53.32275609113276,23,26.314520995132625,62.80681142769754,18.0452446758037,1.2235583319735834,1.1096989507580164,1.1642520436831636,1.1830056476892932,23,1.041751775458844,1.2422164948438392,0.1425396154406524,1.0,1.0,1.0,1.0,23,1.0,1.0,0.0,14.557012204872445,13.580087112117074,14.066758588037413,13.534317303448915,23,13.146910316310823,15.384331512264907,1.1953094452274358,25.0,23,23,all_text
2.36720806832731,1.9337214771747295,2.1438531595302224,2.0,23,1.7560376056580989,2.5242283592480854,0.5568226126773591,35.15446502329053,23.02997391817727,29.196148139060192,32.01148893125355,23,9.70900830347091,42.48428926616907,15.168683887319599,49.25542926271041,36.82809763127817,43.360500015318394,45.43563291057944,23,23.6549961110577,57.92331027984619,15.691701450736204,1.3870008883764093,1.2552081388475502,1.316078109481368,1.2680524899677752,23,1.1937456212905952,1.405766077052538,0.161869392377916,1.0,1.0,1.0,1.0,23,1.0,1.0,0.0,14.651664048234892,13.670787820527734,14.164351876258202,13.620015315711498,23,13.243530651554465,15.457628927193582,1.2041525299753935,10.0,23,23,all_text
3.8748860777403484,3.2101319784758933,3.561859268073221,3.8411214953271027,23,3.0975369458128075,4.029316581001332,0.8233192165805878,22.45426230724172,15.613795966515317,19.099057784385007,23.595565052703023,23,7.96713772136718,25.30956479627639,8.599637383602047,36.763376444211715,29.544025656072748,33.322729881124005,37.62439169920981,23,21.642765413038433,39.45142162125558,9.103823773027152,1.7659329137165005,1.5573138818679386,1.6644544962439594,1.7725160741360828,23,1.4002227287922298,1.8404998865248055,0.2704531202070123,1.0,1.0,1.0,1.0,23,1.0,1.0,0.0,14.719284572259967,13.720466133093705,14.223672096738996,13.635807540267706,23,13.26668857038021,15.544157878495753,1.2219442313737754,5.0,23,23,all_text
4.125719329528927,3.432980746329744,3.8048857609321263,4.029126213592233,23,3.4964157706093193,4.369172932330827,0.8199561043521291,21.525377835400157,14.813294208124685,18.252949131490745,22.321916671469808,23,7.131207572296262,24.136655329726636,8.412371693371403,35.939365912419134,28.74505313125277,32.49292095977327,35.902382999658585,23,20.975984903983772,39.0967119242996,8.93812370611435,1.812296743590456,1.5987383909577453,1.7076452513648566,1.8433271433621443,23,1.4484527072506765,1.9012298114338062,0.27826542690927775,1.0,1.0,1.0,1.0,23,1.0,1.0,0.0,14.727939753440896,13.745990367256024,14.239971828282528,13.681561218574643,23,13.324003495275974,15.589565279893577,1.2226432091562665,1.0,23,23,all_text
4.191914072309947,3.491890022171055,3.8691570088711074,4.118811881188119,23,3.646750524109015,4.453235815602836,0.8342909347903685,21.254579614604943,14.614604487156738,18.02160464785993,22.137365609407425,23,6.839850682765245,23.696188270114362,8.339904233272147,35.695200580548814,28.62673056190226,32.300782888884775,35.841530833393335,23,21.033000206574798,38.64148558303714,8.824101987705843,1.8237255755253332,1.6070445992688873,1.7172743840938076,1.8356901910807086,23,1.4539025203555989,1.9252079039752084,0.28013808978087856,1.0,1.0,1.0,1.0,23,1.0,1.0,0.0,14.762288767927448,13.790851075165783,14.279178241024846,13.67646886780858,23,13.321714689955115,15.575044687837362,1.193534005393753,0.0,23,23,all_text
1.4807309256508157,1.125085194733408,1.2934280838215815,1.3153153153153154,21,1.0,1.397196261682243,0.40951634053432623,49.5100266514612,33.44225112010636,41.75607256963849,51.346970001235604,21,15.942636283114552,54.99655374325812,20.1794983081689,64.00612527574856,47.28432929302078,56.032316283899405,64.67773949727416,21,29.209960587322712,70.04679283685982,20.581744132533853,1.097784073672031,1.002239702701931,1.0468621964046692,1.0288380951515013,21,0.9780626876366787,1.0776166021719256,0.11717499685914998,1.0,1.0,1.0,1.0,21,1.0,1.0,0.0,14.833646325272552,13.754155854747765,14.276243714260913,13.849498020485044,21,13.36369726806879,15.432344762608409,1.30142783168096,100.0,21,21,last_instruction
1.7846773026027785,1.3796303109197288,1.5765420996742692,1.6040609137055837,21,1.0961538461538463,1.8659217877094971,0.4655999163761988,43.424726495364055,28.834130547634725,36.32078032248786,41.64506874792278,21,13.30874871276319,48.785188091918826,17.938404254925203,57.42404641646093,42.628975541282095,50.34146942783679,53.92462178505957,21,26.243904892355204,64.13834250345826,18.36253826878994,1.2212143219911626,1.1035602900064094,1.1617703661794454,1.1731825997273844,21,1.0489373966838917,1.2404917056277562,0.14172492319298216,1.0,1.0,1.0,1.0,21,1.0,1.0,0.0,14.56397784952784,13.507028835550662,14.020689105348927,13.568144770339131,21,13.177672488614917,15.261064175516367,1.269925972292966,25.0,21,21,last_instruction
2.37134270260643,1.9161221746378196,2.1392522611408693,1.9883720930232558,21,1.7837837837837838,2.44,0.53206141381109,36.15487005003683,23.677989173463235,30.114865634945176,33.98131198063493,21,9.729075102135539,42.28348724730313,15.21404040834417,50.357855816759795,37.706554791668346,44.26723908180637,47.161624286323786,21,23.845586443319917,57.753369104117155,15.731599693457982,1.3847528810249783,1.251479529331893,1.3144942797759998,1.2907108057714245,21,1.1875820346393873,1.4039343249352578,0.16078129974332525,1.0,1.0,1.0,1.0,21,1.0,1.0,0.0,14.700053180153262,13.642806102135884,14.152373446861194,13.65316279605031,21,13.332834417000413,15.469881856814027,1.2764448835098956,10.0,21,21,last_instruction
3.884972493907374,3.2469501039900934,3.5837840813358572,3.8679245283018866,21,3.303030303030303,4.068627450980392,0.7562087102881402,23.087187472828443,16.007976517316308,19.647278589418246,24.380429685115814,21,8.11072606407106,25.10712101124227,8.541205128425405,37.299965088630444,30.037450552818235,33.862075807881496,38.266590263694525,21,22.359462697058916,39.99169218726456,9.0291936027028,1.7788961955110467,1.5609834768607254,1.669594503042256,1.7803453538378535,21,1.3997831541034986,1.7999459835902716,0.2649778649773862,1.0,1.0,1.0,1.0,21,1.0,1.0,0.0,14.745312181948906,13.721232122989992,14.21479721846325,13.705714404582977,21,13.340855771675706,15.435227312147617,1.2326049581524992,5.0,21,21,last_instruction
